id,name,category,css_code_snippet,js_required,performance_impact,best_with_aesthetics,description
particle-bg,Particle Background,background,".particle-bg { position: absolute; inset: 0; overflow: hidden; } .particle { position: absolute; width: 2px; height: 2px; background: var(--accent-1); border-radius: 50%; animation: drift var(--duration, 8s) linear infinite; opacity: 0; } @keyframes drift { 0% { transform: translateY(100vh) translateX(0); opacity: 0; } 10% { opacity: 0.8; } 90% { opacity: 0.4; } 100% { transform: translateY(-20px) translateX(var(--drift, 40px)); opacity: 0; } }",true,medium,"neon-cyber,startup-pitch,product-launch,ai-ml-showcase,blockchain-web3","Animated floating particle field using absolutely positioned DOM elements driven by JS. Each particle gets randomized size (1-4px), duration (5-12s), and horizontal drift. Creates depth and ambient motion. Typically 60-120 particles for performance. Uses CSS custom properties for accent color."
grid-overlay,Grid Overlay,background,".grid-overlay { position: absolute; inset: 0; background-image: linear-gradient(var(--grid-color, rgba(255,255,255,0.05)) 1px, transparent 1px), linear-gradient(90deg, var(--grid-color, rgba(255,255,255,0.05)) 1px, transparent 1px); background-size: 60px 60px; pointer-events: none; }",false,low,"neon-cyber,terminal-hacker,consulting-swiss,devops-pipeline,data-science","Pure CSS repeating grid lines using background-image gradients. Extremely lightweight. Works on both dark and light backgrounds by adjusting --grid-color opacity. Can be combined with perspective transform for a 3D vanishing-point effect. Grid size configurable via background-size."
gradient-mesh,Gradient Mesh,background,".gradient-mesh { position: absolute; inset: 0; background: radial-gradient(ellipse 80% 60% at 20% 30%, var(--accent-1, #4361ee) 0%, transparent 60%), radial-gradient(ellipse 60% 80% at 80% 70%, var(--accent-2, #7209b7) 0%, transparent 55%), radial-gradient(ellipse 100% 100% at 50% 50%, var(--bg-secondary, #131b3a) 0%, transparent 100%); animation: meshShift 12s ease-in-out infinite alternate; } @keyframes meshShift { 0% { filter: hue-rotate(0deg); } 100% { filter: hue-rotate(30deg); } }",false,low,"ai-ml-showcase,startup-pitch,vaporwave,blockchain-web3,electric-indigo","Multi-layered radial gradient background creating an organic mesh effect. Three overlapping elliptical gradients blend at their edges. Slow hue-rotate animation adds life without distracting motion. No JS required. Pairs well with dark backgrounds where the gradients have room to glow."
aurora-flow,Aurora Flow,background,".aurora-flow { position: absolute; inset: 0; overflow: hidden; } .aurora-flow::before, .aurora-flow::after { content: ''; position: absolute; width: 200%; height: 200%; top: -50%; left: -50%; background: conic-gradient(from var(--angle, 0deg) at 50% 50%, transparent 0deg, var(--accent-1, #00d4ff) 60deg, transparent 120deg, var(--accent-2, #ff2d78) 180deg, transparent 240deg); animation: auroraSpin 20s linear infinite; opacity: 0.15; filter: blur(40px); } .aurora-flow::after { animation-duration: 14s; animation-direction: reverse; opacity: 0.1; } @keyframes auroraSpin { to { --angle: 360deg; } }",true,medium,"vaporwave,midnight-aurora,neon-cyber,holographic,ai-ml-showcase","Rotating conic gradient layers that simulate the northern lights effect. Two pseudo-elements rotate at different speeds and directions, creating an organic interference pattern. The heavy blur filter smooths the transitions into soft waves. Requires @property for --angle animation in modern browsers."
noise-texture,Noise Texture,background,".noise-texture { position: absolute; inset: 0; opacity: 0.04; background-image: url(""data:image/svg+xml,%3Csvg viewBox='0 0 256 256' xmlns='http://www.w3.org/2000/svg'%3E%3Cfilter id='noise'%3E%3CfeTurbulence type='fractalNoise' baseFrequency='0.9' numOctaves='4' stitchTiles='stitch'/%3E%3C/filter%3E%3Crect width='100%25' height='100%25' filter='url(%23noise)'/%3E%3C/svg%3E""); background-repeat: repeat; background-size: 256px 256px; mix-blend-mode: overlay; pointer-events: none; }",false,low,"collage-mixed-media,neo-brutalist,anti-design,vaporwave,food-culinary","Inline SVG-based fractal noise texture applied as a repeating background with overlay blend mode. Adds organic grain and tactile quality to otherwise flat digital backgrounds. Nearly invisible at 4% opacity but noticeably adds depth. Increase opacity for editorial or analog aesthetics."
dot-grid,Dot Grid,background,".dot-grid { position: absolute; inset: 0; background-image: radial-gradient(circle, var(--dot-color, rgba(255,255,255,0.15)) 1px, transparent 1px); background-size: 28px 28px; pointer-events: none; }",false,low,"developer-docs,open-source,workshop-training,academic-paper,consulting-swiss","Radial-gradient dot matrix pattern. Lighter and more refined than a line grid. Works on both light (dark dots) and dark (light dots) backgrounds. The 28px grid spacing is optimal for legibility — the dots register visually but don't compete with content. Zero JS, minimal CPU."
wave-svg,Wave SVG,background,".wave-svg { position: absolute; bottom: 0; left: 0; width: 100%; overflow: hidden; line-height: 0; } .wave-svg svg { display: block; width: calc(100% + 2px); height: 80px; } .wave-svg .wave-path { fill: var(--wave-color, rgba(255,255,255,0.05)); animation: waveMove 8s ease-in-out infinite; transform-origin: center bottom; } @keyframes waveMove { 0%, 100% { d: path('M0,40 C240,80 480,0 720,40 C960,80 1200,0 1440,40 L1440,80 L0,80 Z'); } 50% { d: path('M0,20 C240,60 480,20 720,60 C960,20 1200,60 1440,20 L1440,80 L0,80 Z'); } }",false,low,"sustainability-green,organic-flow,food-culinary,kids-playful,medical-healthcare","Animated SVG sine wave anchored to the bottom of a slide. Uses CSS path animation to morph between two wave shapes. Creates a gentle, organic motion that adds life without distraction. Best used as a subtle separator or section transition element in nature-adjacent and health aesthetics."
neon-glow,Neon Glow,text,".neon-glow { color: var(--neon-color, #00d4ff); text-shadow: 0 0 7px var(--neon-color, #00d4ff), 0 0 10px var(--neon-color, #00d4ff), 0 0 21px var(--neon-color, #00d4ff), 0 0 42px var(--neon-color-mid, #0080ff), 0 0 82px var(--neon-color-mid, #0080ff), 0 0 92px var(--neon-color-mid, #0080ff); animation: neonFlicker 3s infinite alternate; } @keyframes neonFlicker { 0%, 100% { opacity: 1; } 92% { opacity: 1; } 93% { opacity: 0.8; } 96% { opacity: 1; } 97% { opacity: 0.6; } 99% { opacity: 1; } }",false,low,"neon-cyber,terminal-hacker,cyberpunk,y2k-retro,vaporwave","Multi-layer text-shadow stack that simulates a glowing neon tube. Layers progress from tight core glow to wide halo bloom. A subtle flicker animation at 3s intervals adds authenticity without being distracting. Color controlled via CSS custom properties for easy theming per slide."
gradient-text,Gradient Text,text,".gradient-text { background: linear-gradient(135deg, var(--grad-start, #4361ee) 0%, var(--grad-mid, #7209b7) 50%, var(--grad-end, #00d4ff) 100%); -webkit-background-clip: text; -webkit-text-fill-color: transparent; background-clip: text; background-size: 200% 200%; animation: gradientShift 4s ease infinite; } @keyframes gradientShift { 0% { background-position: 0% 50%; } 50% { background-position: 100% 50%; } 100% { background-position: 0% 50%; } }",false,low,"startup-pitch,ai-ml-showcase,electric-indigo,vaporwave,holographic","CSS gradient clipped to text using background-clip. Animates the gradient position to create a flowing color shift effect on headlines. Works only on heading elements with solid or transparent backgrounds behind them. Three-stop gradient with configurable start/mid/end colors via custom properties."
typewriter,Typewriter,text,".typewriter-text { overflow: hidden; border-right: 2px solid var(--cursor-color, #00d4ff); white-space: nowrap; animation: typeReveal var(--duration, 2s) steps(var(--chars, 30)) forwards, cursorBlink 0.75s step-end infinite; width: 0; } @keyframes typeReveal { to { width: 100%; } } @keyframes cursorBlink { 0%, 100% { border-color: var(--cursor-color, #00d4ff); } 50% { border-color: transparent; } }",false,low,"terminal-hacker,developer-docs,open-source,cyberpunk,neon-cyber","CSS-only typewriter using width animation with steps() timing function to snap through character positions. A blinking border-right acts as the cursor. The --chars custom property must match the character count of the text for accurate stepping. Best for single-line code strings or key phrases."
