id,name,category,vibe_keywords,compatible_palettes,compatible_fonts,compatible_layouts,signature_effects,is_dark,energy_level
conservative-corporate,Conservative Corporate,corporate,"trustworthy,authoritative,traditional,stable,formal","arctic-frost,cream-paper,carbon-fiber","bodoni-dmsans,cormorant-ibmplex,fraunces-worksans","centered-hero,editorial-stack,grid-cards","subtle-fade,rule-lines,watermark",false,2
modern-corporate,Modern Corporate,corporate,"clean,professional,confident,forward-looking,bold","arctic-frost,midnight-aurora,carbon-fiber","archivo-spacegrotesk,jakarta-jakarta,cabinet-general","split-panel,centered-hero,dashboard","accent-bar,gradient-underline,floating-label",false,5
startup-pitch,Startup Pitch,corporate,"energetic,bold,disruptive,ambitious,exciting","electric-indigo,midnight-aurora,sunset-blaze","clash-satoshi,archivo-spacegrotesk,syne-spacemono","centered-hero,split-panel,editorial-stack","gradient-mesh,scale-in,fade-up,particle-bg",true,9
investor-deck,Investor Deck,corporate,"credible,data-driven,trustworthy,measured,premium","arctic-frost,carbon-fiber,cream-paper","cormorant-ibmplex,fraunces-worksans,bodoni-dmsans","dashboard,editorial-stack,grid-cards","chart-reveal,number-counter,subtle-fade",false,4
consulting-swiss,Consulting Swiss,corporate,"precise,systematic,authoritative,structured,clean","arctic-frost,sage-garden,cream-paper","jakarta-jakarta,cabinet-general,archivo-spacegrotesk","grid-cards,editorial-stack,centered-hero","grid-overlay,rule-lines,table-reveal",false,3
annual-report,Annual Report,corporate,"editorial,premium,comprehensive,polished,formal","cream-paper,arctic-frost,carbon-fiber","fraunces-worksans,bodoni-dmsans,cormorant-ibmplex","editorial-stack,dashboard,grid-cards","pull-quote-reveal,chart-draw,page-turn",false,3
saas-product,SaaS Product,corporate,"clean,feature-focused,modern,friendly,intuitive","arctic-frost,mint-fresh,electric-indigo","jakarta-jakarta,cabinet-general,archivo-spacegrotesk","split-panel,grid-cards,centered-hero","screenshot-frame,feature-callout,fade-up",false,6
enterprise-tech,Enterprise Tech,corporate,"structured,technical,secure,scalable,complex","midnight-aurora,carbon-fiber,ocean-deep","jetbrains-mono,clash-satoshi,syne-spacemono","dashboard,grid-cards,editorial-stack","scanning-line,grid-overlay,pulsing-rings",true,5
portfolio-showcase,Portfolio Showcase,creative,"visual,expressive,personal,curated,refined","cream-paper,lavender-dream,carbon-fiber","cormorant-ibmplex,fraunces-worksans,clash-satoshi","centered-hero,split-panel,editorial-stack","image-reveal,fade-up,parallax-scroll",false,6
y2k-retro,Y2K Retro,creative,"nostalgic,playful,chaotic,digital,millennium","neon-toxic,holographic,crimson-signal","syne-spacemono,clash-satoshi,archivo-spacegrotesk","centered-hero,grid-cards,editorial-stack","glitch-in,scanlines,neon-glow,pixel-burst",true,8
japandi-minimal,Japandi Minimal,creative,"serene,wabi-sabi,natural,calm,harmonious","sage-garden,cream-paper,mint-fresh","cormorant-ibmplex,fraunces-worksans,bodoni-dmsans","centered-hero,editorial-stack,split-panel","organic-reveal,ink-drop,subtle-fade",false,2
neo-brutalist,Neo Brutalist,creative,"raw,bold,confrontational,honest,graphic","brutalist-red,cream-paper,carbon-fiber","archivo-spacegrotesk,clash-satoshi,syne-spacemono","centered-hero,grid-cards,editorial-stack","brutalist-shadow,hard-border,scale-in,glitch-in",false,8
anti-design,Anti Design,creative,"chaotic,rebellious,provocative,unconventional,expressive","neon-toxic,brutalist-red,holographic","syne-spacemono,clash-satoshi,archivo-spacegrotesk","editorial-stack,grid-cards,centered-hero","scramble-reveal,glitch-in,split-color,anti-grid",false,9
art-deco,Art Deco,creative,"luxurious,geometric,opulent,glamorous,precise","rose-gold,carbon-fiber,monokai","cormorant-ibmplex,bodoni-dmsans,fraunces-worksans","centered-hero,editorial-stack,split-panel","gold-shimmer,geometric-pattern,fade-up",true,6
vaporwave,Vaporwave,creative,"dreamy,nostalgic,retrofuturistic,hazy,pastel","holographic,lavender-dream,pastel-rainbow","syne-spacemono,clash-satoshi,jetbrains-mono","centered-hero,split-panel,editorial-stack","aurora-flow,gradient-mesh,neon-glow,scanlines",true,7
bauhaus,Bauhaus,creative,"functional,geometric,primary,systematic,bold","brutalist-red,arctic-frost,pastel-rainbow","archivo-spacegrotesk,cabinet-general,jakarta-jakarta","grid-cards,centered-hero,editorial-stack","geometric-reveal,primary-shapes,scale-in",false,6
collage-mixed-media,Collage Mixed Media,creative,"layered,textured,eclectic,handcrafted,organic","cream-paper,terracotta,coral-reef","fraunces-worksans,cormorant-ibmplex,syne-spacemono","editorial-stack,centered-hero,split-panel","noise-texture,paper-fold,image-overlap,tear-reveal",false,7
organic-flow,Organic Flow,creative,"natural,fluid,curved,earthy,breathing","sage-garden,mint-fresh,terracotta","fraunces-worksans,cormorant-ibmplex,jakarta-jakarta","centered-hero,editorial-stack,split-panel","blob-morph,organic-reveal,wave-svg,floating-shapes",false,4
neon-cyber,Neon Cyber,tech,"futuristic,electric,immersive,dark,intense","midnight-aurora,electric-indigo,ocean-deep","clash-satoshi,syne-spacemono,jetbrains-mono","centered-hero,dashboard,split-panel","particle-bg,neon-glow,grid-overlay,pulsing-rings",true,9
terminal-hacker,Terminal Hacker,tech,"raw,technical,underground,minimal,nerdy","monokai,carbon-fiber,midnight-aurora","jetbrains-mono,syne-spacemono,clash-satoshi","centered-hero,editorial-stack,dashboard","scanlines,typewriter,scramble-reveal,scanning-line",true,8
developer-docs,Developer Docs,tech,"clear,structured,technical,readable,systematic","arctic-frost,carbon-fiber,monokai","jetbrains-mono,jakarta-jakarta,cabinet-general","editorial-stack,grid-cards,dashboard","code-block-reveal,syntax-highlight,fade-up",false,4
ai-ml-showcase,AI/ML Showcase,tech,"futuristic,intelligent,complex,neural,gradient","midnight-aurora,electric-indigo,holographic","clash-satoshi,syne-spacemono,arquivo-spacegrotesk","centered-hero,dashboard,split-panel","gradient-mesh,particle-bg,aurora-flow,neural-path",true,8
product-launch,Product Launch,tech,"exciting,bold,impactful,high-energy,viral","crimson-signal,electric-indigo,sunset-blaze","clash-satoshi,archivo-spacegrotesk,jakarta-jakarta","centered-hero,split-panel,editorial-stack","scale-in,particle-bg,countdown-timer,confetti",true,10
open-source,Open Source,tech,"community,collaborative,transparent,geeky,passionate","arctic-frost,sage-garden,mint-fresh","jetbrains-mono,jakarta-jakarta,cabinet-general","grid-cards,editorial-stack,dashboard","badge-reveal,code-block-reveal,fade-up",false,5
devops-pipeline,DevOps Pipeline,tech,"systematic,reliable,automated,visual,process","carbon-fiber,midnight-aurora,ocean-deep","jetbrains-mono,jakarta-jakarta,syne-spacemono","dashboard,grid-cards,editorial-stack","flow-diagram,status-pulse,scanning-line,grid-overlay",true,5
data-science,Data Science,tech,"analytical,visual,dense,precise,insightful","midnight-aurora,carbon-fiber,ocean-deep","jetbrains-mono,jakarta-jakarta,archivo-spacegrotesk","dashboard,grid-cards,editorial-stack","chart-draw,number-counter,gradient-mesh,scanning-line",true,6
blockchain-web3,Blockchain Web3,tech,"decentralized,trustless,futuristic,metallic,cryptic","holographic,electric-indigo,midnight-aurora","clash-satoshi,syne-spacemono,archivo-spacegrotesk","centered-hero,grid-cards,split-panel","glass-cards,holographic-border,particle-bg,pulsing-rings",true,8
cyberpunk,Cyberpunk,tech,"dystopian,gritty,neon,dark,intense","neon-toxic,crimson-signal,midnight-aurora","clash-satoshi,syne-spacemono,jetbrains-mono","centered-hero,editorial-stack,split-panel","neon-glow,glitch-in,scanlines,noise-texture,particle-bg",true,10
academic-paper,Academic Paper,educational,"formal,scholarly,rigorous,structured,authoritative","cream-paper,arctic-frost,sage-garden","playfair-lora,fraunces-worksans,cormorant-ibmplex","editorial-stack,centered-hero,grid-cards","footnote-reveal,subtle-fade,rule-lines",false,2
workshop-training,Workshop Training,educational,"practical,step-by-step,interactive,engaging,clear","arctic-frost,mint-fresh,lavender-dream","jakarta-jakarta,cabinet-general,archivo-spacegrotesk","editorial-stack,grid-cards,split-panel","step-reveal,progress-bar,fade-up,scale-in",false,6
explainer-tutorial,Explainer Tutorial,educational,"friendly,colorful,progressive,accessible,visual","pastel-rainbow,mint-fresh,lavender-dream","jakarta-jakarta,archivo-spacegrotesk,fraunces-worksans","editorial-stack,split-panel,centered-hero","progressive-reveal,icon-bounce,fade-up,callout-pop",false,7
science-presentation,Science Presentation,educational,"precise,clean,diagram-focused,evidence-based,clear","arctic-frost,sage-garden,mint-fresh","jakarta-jakarta,cormorant-ibmplex,bodoni-dmsans","editorial-stack,split-panel,dashboard","diagram-draw,chart-reveal,fade-up,annotation-appear",false,4
kids-playful,Kids Playful,educational,"bright,bouncy,fun,accessible,friendly","pastel-rainbow,coral-reef,mint-fresh","archivo-spacegrotesk,jakarta-jakarta,cabinet-general","centered-hero,grid-cards,editorial-stack","bounce-in,confetti,flip-in,floating-shapes",false,9
university-lecture,University Lecture,educational,"traditional,hierarchical,content-dense,structured,formal","cream-paper,arctic-frost,carbon-fiber","playfair-lora,fraunces-worksans,bodoni-dmsans","editorial-stack,centered-hero,grid-cards","subtle-fade,rule-lines,slide-left",false,3
language-learning,Language Learning,educational,"bilingual,clear,accessible,progressive,friendly","lavender-dream,arctic-frost,mint-fresh","jakarta-jakarta,cabinet-general,archivo-spacegrotesk","split-panel,grid-cards,editorial-stack","flip-card,progressive-reveal,fade-up,highlight-text",false,6
case-study-edu,Case Study Educational,educational,"evidence-based,structured,analytical,comparative,clear","arctic-frost,sage-garden,cream-paper","jakarta-jakarta,fraunces-worksans,cormorant-ibmplex","split-panel,editorial-stack,grid-cards","before-after-reveal,chart-draw,fade-up,annotation-appear",false,5
pitch-deck-classic,Classic Pitch Deck,sales,"persuasive,structured,narrative,compelling,professional","arctic-frost,electric-indigo,carbon-fiber","clash-satoshi,archivo-spacegrotesk,jakarta-jakarta","centered-hero,split-panel,editorial-stack","number-counter,fade-up,chart-reveal,scale-in",false,7
case-study-sales,Sales Case Study,sales,"results-focused,credible,testimonial,proof,compelling","arctic-frost,mint-fresh,sage-garden","jakarta-jakarta,cabinet-general,fraunces-worksans","editorial-stack,split-panel,grid-cards","number-counter,pull-quote-reveal,before-after-reveal,fade-up",false,6
event-conference,Event & Conference,sales,"bold,energetic,celebratory,speaker-focused,professional","electric-indigo,crimson-signal,midnight-aurora","clash-satoshi,archivo-spacegrotesk,jakarta-jakarta","centered-hero,grid-cards,split-panel","particle-bg,scale-in,speaker-spotlight,countdown-timer",true,9
product-demo,Product Demo,sales,"visual,clear,feature-focused,persuasive,hands-on","arctic-frost,electric-indigo,mint-fresh","jakarta-jakarta,cabinet-general,archivo-spacegrotesk","split-panel,centered-hero,grid-cards","screenshot-frame,feature-callout,fade-up,highlight-text",false,7
brand-guidelines,Brand Guidelines,sales,"systematic,definitive,visual,organized,reference","cream-paper,arctic-frost,pastel-rainbow","bodoni-dmsans,fraunces-worksans,cormorant-ibmplex","editorial-stack,grid-cards,split-panel","swatch-reveal,type-specimen,fade-up,rule-lines",false,4
social-media-report,Social Media Report,sales,"data-driven,visual,trend-focused,insightful,metrics","arctic-frost,electric-indigo,midnight-aurora","jakarta-jakarta,archivo-spacegrotesk,cabinet-general","dashboard,grid-cards,editorial-stack","chart-draw,number-counter,trend-line,fade-up",false,6
proposal-business,Business Proposal,sales,"professional,structured,comprehensive,persuasive,formal","cream-paper,arctic-frost,carbon-fiber","cormorant-ibmplex,fraunces-worksans,jakarta-jakarta","editorial-stack,centered-hero,grid-cards","subtle-fade,rule-lines,table-reveal,fade-up",false,4
webinar-presentation,Webinar Presentation,sales,"agenda-driven,engaging,educational,interactive,professional","arctic-frost,lavender-dream,mint-fresh","jakarta-jakarta,cabinet-general,archivo-spacegrotesk","editorial-stack,centered-hero,split-panel","progress-bar,qa-overlay,speaker-bio-reveal,fade-up",false,6
medical-healthcare,Medical Healthcare,specialty,"clinical,trustworthy,clean,precise,compassionate","arctic-frost,mint-fresh,ocean-deep","jakarta-jakarta,cormorant-ibmplex,bodoni-dmsans","editorial-stack,split-panel,grid-cards","subtle-fade,chart-reveal,annotation-appear,rule-lines",false,3
sustainability-green,Sustainability Green,specialty,"organic,earthy,hopeful,responsible,natural","sage-garden,mint-fresh,terracotta","fraunces-worksans,cormorant-ibmplex,jakarta-jakarta","centered-hero,editorial-stack,split-panel","wave-svg,organic-reveal,blob-morph,floating-shapes",false,5
financial-fintech,Financial Fintech,specialty,"trustworthy,premium,data-focused,sophisticated,modern","midnight-aurora,carbon-fiber,ocean-deep","bodoni-dmsans,cormorant-ibmplex,archivo-spacegrotesk","dashboard,editorial-stack,split-panel","chart-draw,number-counter,grid-overlay,glass-cards",true,5
legal-compliance,Legal Compliance,specialty,"conservative,formal,authoritative,precise,structured","cream-paper,arctic-frost,carbon-fiber","playfair-lora,cormorant-ibmplex,fraunces-worksans","editorial-stack,centered-hero,grid-cards","subtle-fade,rule-lines,table-reveal,watermark",false,2
architecture-interior,Architecture & Interior,specialty,"spatial,minimal,visual,refined,atmospheric","cream-paper,carbon-fiber,sage-garden","cormorant-ibmplex,fraunces-worksans,bodoni-dmsans","centered-hero,split-panel,editorial-stack","image-reveal,parallax-scroll,fade-up,blur-in",false,5
food-culinary,Food & Culinary,specialty,"warm,appetizing,editorial,sensory,inviting","terracotta,coral-reef,cream-paper","playfair-lora,fraunces-worksans,cormorant-ibmplex","centered-hero,editorial-stack,split-panel","image-reveal,warm-blur,fade-up,appetizing-overlay",false,6
