id	name	display_font	body_font	font_source	google_fonts_url	css_import	vibe_keywords	best_for
clash-satoshi	Clash Display & Satoshi	Clash Display	Satoshi	Fontshare	https://api.fontshare.com/v2/css?f[]=clash-display@400;500;600;700&f[]=satoshi@400;500;700&display=swap	@import url('https://api.fontshare.com/v2/css?f[]=clash-display@400,500,600,700&f[]=satoshi@400,500,700&display=swap');	futuristic|bold|modern|startup|tech	startup pitch decks|tech products|product launches|modern corporate
fraunces-worksans	Fraunces & Work Sans	Fraunces	Work Sans	Google Fonts	https://fonts.googleapis.com/css2?family=Fraunces:ital@0;1&family=Work+Sans:wght@300;400;500;600&display=swap	@import url('https://fonts.googleapis.com/css2?family=Fraunces:ital@0;1&family=Work+Sans:wght@300;400;500;600&display=swap');	editorial|witty|expressive|journalistic|modern classic	editorial decks|portfolio|annual reports|brand storytelling
syne-spacemono	Syne & Space Mono	Syne	Space Mono	Google Fonts	https://fonts.googleapis.com/css2?family=Syne:wght@400;500;600;700;800&family=Space+Mono:ital,wght@0,400;0,700;1,400&display=swap	@import url('https://fonts.googleapis.com/css2?family=Syne:wght@400;500;600;700;800&family=Space+Mono:ital,wght@0,400;0,700;1,400&display=swap');	creative|energetic|alternative|quirky|distinctive	creative portfolios|tech talks|experimental decks|developer content
bodoni-dmsans	Bodoni Moda & DM Sans	Bodoni Moda	DM Sans	Google Fonts	https://fonts.googleapis.com/css2?family=Bodoni+Moda:ital,opsz@0,6..96;1,6..96&family=DM+Sans:wght@300;400;500&display=swap	@import url('https://fonts.googleapis.com/css2?family=Bodoni+Moda:ital,opsz@0,6..96;1,6..96&family=DM+Sans:wght@300;400;500&display=swap');	classic|editorial|high-fashion|premium|timeless	luxury brands|fashion presentations|editorial decks|premium proposals
archivo-spacegrotesk	Archivo Black & Space Grotesk	Archivo Black	Space Grotesk	Google Fonts	https://fonts.googleapis.com/css2?family=Archivo+Black&family=Space+Grotesk:wght@300;400;500;600&display=swap	@import url('https://fonts.googleapis.com/css2?family=Archivo+Black&family=Space+Grotesk:wght@300;400;500;600&display=swap');	bold|confident|impactful|graphic|modern	pitch decks|marketing presentations|product launches|bold brand work
cormorant-ibmplex	Cormorant & IBM Plex Sans	Cormorant	IBM Plex Sans	Google Fonts	https://fonts.googleapis.com/css2?family=Cormorant:ital,wght@0,300;0,400;1,300;1,400&family=IBM+Plex+Sans:wght@300;400;500&display=swap	@import url('https://fonts.googleapis.com/css2?family=Cormorant:ital,wght@0,300;0,400;1,300;1,400&family=IBM+Plex+Sans:wght@300;400;500&display=swap');	elegant|refined|premium|technical|literary	consulting decks|finance presentations|luxury brand|annual reports
jakarta-jakarta	Plus Jakarta Sans (Display & Text)	Plus Jakarta Sans	Plus Jakarta Sans	Google Fonts	https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@300;400;500;600;700;800&display=swap	@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@300;400;500;600;700;800&display=swap');	modern|friendly|versatile|clean|approachable	SaaS products|startup decks|educational content|corporate modern
jetbrains-mono	JetBrains Mono	JetBrains Mono	JetBrains Mono	JetBrains	https://fonts.googleapis.com/css2?family=JetBrains+Mono:ital,wght@0,400;0,700;1,400&display=swap	@import url('https://fonts.googleapis.com/css2?family=JetBrains+Mono:ital,wght@0,400;0,700;1,400&display=swap');	developer|monospace|hacker|terminal|code	developer docs|terminal demos|tech talks|open source|data science
cabinet-general	Cabinet Grotesk & General Sans	Cabinet Grotesk	General Sans	Fontshare	https://api.fontshare.com/v2/css?f[]=cabinet-grotesk@400;500;700;800&f[]=general-sans@400;500;600&display=swap	@import url('https://api.fontshare.com/v2/css?f[]=cabinet-grotesk@400,500,700,800&f[]=general-sans@400,500,600&display=swap');	clean|startup|friendly|geometric|contemporary	startup pitch decks|SaaS products|modern corporate|investor decks
playfair-lora	Playfair Display & Lora	Playfair Display	Lora	Google Fonts	https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,700;1,400&family=Lora:ital,wght@0,400;0,700;1,400&display=swap	@import url('https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,700;1,400&family=Lora:ital,wght@0,400;0,700;1,400&display=swap');	luxury|literary|refined|elegant|serif	luxury brand presentations|editorial decks|academic papers|legal docs
