id,name,bg_primary,bg_secondary,text_primary,text_secondary,accent_1,accent_2,border_color,glow_color,is_dark,wcag_contrast,vibe_keywords
midnight-aurora,Midnight Aurora,#0a0f1c,#0d1529,#e8f4fd,#94a3b8,#00d4ff,#ff2d78,#1e2d4a,#00d4ff40,true,7.2,"futuristic,electric,deep,immersive,tech"
crimson-signal,Crimson Signal,#1a1a1a,#2d2d2d,#f5f5f5,#a0a0a0,#ff4d1a,#ff8c42,#3d3d3d,#ff4d1a40,true,8.1,"bold,energetic,urgent,startup,modern"
electric-indigo,Electric Indigo,#0d1529,#131b3a,#dce8ff,#7a8fba,#4361ee,#7209b7,#1f2d52,#4361ee40,true,7.8,"digital,confident,vibrant,creative,tech"
rose-gold,Rose Gold,#0f0f0f,#1a1a1a,#fce8e4,#b8968e,#e8a598,#c9766a,#2a2a2a,#e8a59840,true,8.4,"luxurious,warm,feminine,premium,elegant"
neon-toxic,Neon Toxic,#0a0a0a,#141414,#f0f0f0,#888888,#ccff00,#00ff88,#222222,#ccff0040,true,9.1,"edgy,loud,digital,y2k,rebellious"
ocean-deep,Ocean Deep,#0c1e3a,#112a4a,#d6eeff,#6a9abf,#00b4d8,#0077b6,#1a3555,#00b4d840,true,7.5,"calm,professional,trustworthy,tech,stable"
sunset-blaze,Sunset Blaze,#1c1017,#2a1a20,#ffecd0,#c49b7a,#ff6b35,#f7c59f,#3d2030,#ff6b3540,true,7.9,"warm,dramatic,passionate,creative,bold"
arctic-frost,Arctic Frost,#f0f4f8,#e8edf2,#1a2332,#4a5568,#2563eb,#0ea5e9,#d1d9e2,#2563eb20,false,8.3,"clean,professional,clear,fresh,modern"
cream-paper,Cream Paper,#faf9f7,#f2efe9,#1c1a17,#5c5248,#c0392b,#e07b54,#dedad2,#c0392b20,false,8.6,"editorial,warm,classic,timeless,print"
sage-garden,Sage Garden,#f5f7f2,#eaede5,#1e2b1c,#4a5e46,#3d7a42,#6aab4e,#d5dbd0,#3d7a4220,false,8.1,"organic,natural,earthy,calm,sustainable"
lavender-dream,Lavender Dream,#f8f5ff,#efe9ff,#1e1430,#5e4a7a,#7c3aed,#a78bfa,#ddd5f0,#7c3aed20,false,7.6,"creative,dreamy,spiritual,artsy,gentle"
coral-reef,Coral Reef,#fff5f5,#ffe8e8,#2d1515,#7a3d3d,#e53e3e,#fc8181,#fad0d0,#e53e3e20,false,8.0,"energetic,warm,playful,bold,inviting"
mint-fresh,Mint Fresh,#f0fdf4,#dcfce7,#14291e,#3a6650,#16a34a,#4ade80,#bbf7d0,#16a34a20,false,7.9,"fresh,health,clean,optimistic,natural"
carbon-fiber,Carbon Fiber,#111111,#1a1a1a,#e8e8e8,#909090,#6b7280,#9ca3af,#2a2a2a,#6b728040,true,8.7,"minimal,technical,sleek,professional,dark"
holographic,Holographic,#0f0f1a,#14142a,#e8e0ff,#8070c8,#00ffcc,#ff00aa,#1e1e35,#00ffcc30,true,7.4,"iridescent,futuristic,magical,web3,prismatic"
pastel-rainbow,Pastel Rainbow,#fefefe,#f8f8f8,#1a1a1a,#4a4a4a,#ff6b9d,#ffd93d,#e8e8e8,#ff6b9d20,false,8.8,"playful,cheerful,inclusive,fun,youthful"
terracotta,Terracotta,#2d1810,#3d2218,#f5e8dc,#b89070,#c4622d,#e8956d,#4d3228,#c4622d40,true,8.0,"earthy,warm,artisan,mediterranean,rustic"
tokyo-night,Tokyo Night,#1a1b26,#24283b,#c0caf5,#565f89,#7aa2f7,#bb9af7,#292e42,#7aa2f740,true,7.3,"coding,chill,aesthetic,developer,nightlife"
brutalist-red,Brutalist Red,#ffffff,#f5f5f5,#0a0a0a,#3d3d3d,#ff0000,#cc0000,#d0d0d0,#ff000030,false,9.2,"raw,confrontational,bold,graphic,anti-design"
monokai,Monokai,#272822,#3e3d32,#f8f8f2,#75715e,#f92672,#a6e22e,#49483e,#f9267240,true,7.1,"developer,coding,classic,terminal,editor"
